Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID
Upazila Health Complex,23.5381718,90.7794308,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Gouripur,ChIJ_____-5aVDcR3JBIsGtShuI
DESH HOSPITAL,23.5376685,90.7831464,3.8,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Gouripur,ChIJQ0s8DeVaVDcR5Zn9kFnZPXE
Kamal Mordan Hospital,23.5374595,90.7831326,3.3,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Gouripur,ChIJfUJ3DeVaVDcRtvp0rks1I48
দেশ হসপিটাল লিমিটেড,23.537497,90.7833274,1,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Gouripur - Homna Highway, Gouripur",ChIJET0Zj1BbVDcRlWjaTsP_9Ls
Shapla Hospital & Digonostic Center,23.5392505,90.7835551,4,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Gouripur,ChIJWylOyOVaVDcRrXY1_vyS1rg
Gouropur Rongdonu Hospital,23.5387624,90.7837049,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Gouripur - Homna Highway, Gouripur",ChIJl3awr-VaVDcRsezGNVdHLJw
hospital,23.5389917,90.7836758,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Gouripur - Homna Highway, Gouripur",ChIJMWJAsOVaVDcReU3xc5IyTaI
Gouripur Rongdhonu Hospital,23.5386433,90.7838095,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Bazar Road, Gouripur",ChIJFWTFR-RaVDcRNLJMLUHh_Ew
"S,alam plaza,",23.5394765,90.7836912,4.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","S,alam plaza,Green lab hospital, homna road, Holding no:- 191, গৌরীপুর",ChIJNUNbxp1bVDcRd4fzH-7ZUxE
Shikdar Medical,23.5397371,90.7837991,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Gouripur,ChIJ7Te_yeVaVDcRHvhPYnS_6uw
মুক্তি হাসপাতাল,23.5350874,90.782687,4.5,11,"['hospital', 'health', 'point_of_interest', 'establishment']","Gouripur - Homna Highway, Gouripur",ChIJZSTytPpaVDcRL0E7TZTBbjw
